id,name,state
,acapulco,guerrero
,aguascalientes,aguascalientes
,boca del río,veracruz
,campeche,campeche
,cancún,quintana roo
,celaya,guanajuato
,chetumal,quintana roo
,chihuahua,chihuahua
,chilpancingo,guerrero
,ciudad de méxico,ciudad de méxico
,ciudad del cármen,campeche
,ciudad juárez,chihuahua
,ciudad nezahualcóyotl,estado de méxico
,ciudad victoria,tamaulipas
,coatzacoalcos,veracruz
,colima,colima
,cuautitlán izcalli,estado de méxico
,cuautitlán méxico,estado de méxico
,cuernavaca,morelos
,culiacán,sinaloa
,durango,durango
,ecatepec,estado de méxico
,ensenada,baja california
,guadalajara,jalisco
,guanajuato,guanajuato
,hermosillo,sonora
,juárez,chihuahua
,la paz,baja california sur
,león,guanajuato
,matamoros,yucatán
,mazatlán,tamaulipas
,mérida,sinaloa
,mexicali,baja california
,minantitlán,veracruz
,monclova,coahuila
,monterrey,nuevo león
,morelia,michoacán
,naucalpan,estado de méxico
,nezahualcóyotl,estado de méxico
,nogales,sonora
,nuevo laredo,tamaulipas
,oaxaca,oaxaca
,pachuca,hidalgo
,puebla,puebla
,puerto vallarta,jalisco
,querétaro,querétaro
,reynosa,tamaulipas
,saltillo,coahuila
,san cristobal de las casas,chiapas
,san luis potosí,san luis potosí
,tampico,tamaulipas
,tehuacán,puebla
,teotihuacán,estado de méxico
,tepic,nayarit
,texcoco,estado de méxico
,tijuana,baja california
,tlalnepantla,estado de méxico
,tlaxcala,tlaxcala
,toluca,estado de méxico
,torreón,coahuila
,tuxtla gutiérrez,chiapas
,uruapan,michoacán
,veracruz,veracruz
,villa hermosa,tabasco
,xalapa,veracruz
,xonacatlán,estado de méxico
,zacatecas,zacatecas
,zamora,michoacán
,zapopan,jalisco